A,B
7.542427106080055,22.313694586990707
2.942008870857233,1.5861185873523826
-3.911742160522154,-15.855138931675185
-3.5133417957926376,-11.110570273824168
2.54205131276235,4.629443138871675
4.969785056318619,9.666301648579886
-4.567485152418049,-14.965519833736224
1.221335489562854,16.17722231751074
1.5578617900997482,4.62474931837224
4.9655399473193444,9.335687690059668
1.3403504414525802,9.657641112256368
0.24146858754999911,-7.56957527527217
0.19158392676709113,3.391143322010656
1.0288986154545015,-0.7871173269434966
-0.393812247841252,7.426664781107881
-2.848139091912218,-1.1942702934140668
-3.137185436659415,-7.219001938208683
-9.10625917438458,-21.929242778154308
3.396131631884657,8.041304103143643
7.330237737708014,31.602873151502074
5.40177312426702,25.233631542146973
4.270678459400287,12.150497164837711
5.364697148550832,12.02989097009872
2.801035348924918,-1.8604260215411035
-1.0412877960547746,-0.5250164076615871
3.8360082771899346,6.641590178678158
-8.702899024723843,-21.540055927840157
1.3256483202773435,6.045171355670817
6.89821387341749,11.287084039196186
6.7054607939568385,24.68786593457024
