X,Y
-0.6754484302420813,-3.3772421512104067
-7.68256590758718,-38.4128295379359
2.611459086599348,13.05729543299674
1.3515913809526303,6.757956904763152
-9.860278552598196,-49.30139276299098
1.8490913638219197,9.245456819109599
2.285016151434327,11.425080757171635
6.516502868825807,32.58251434412904
9.355411118316098,46.77705559158049
6.521006456712286,32.60503228356143
4.96792131460934,24.8396065730467
-6.836231558775689,-34.18115779387845
-3.6789543609060864,-18.394771804530432
6.209273367294255,31.046366836471275
-4.720315719650743,-23.601578598253713
-4.881692301258884,-24.40846150629442
8.764910512887468,43.82455256443734
-4.460860826977897,-22.304304134889485
-9.637629786596777,-48.188148932983886
2.9969533815451737,14.984766907725868
9.075133760163489,45.375668800817444
-3.951470192644699,-19.757350963223494
-1.813808525709085,-9.069042628545425
-6.275093454845848,-31.37546727422924
-9.555802549295668,-47.779012746478344
-0.08444146427697063,-0.4222073213848532
-6.821835588889247,-34.10917794444623
-0.26194830100875066,-1.3097415050437533
-2.3528734786645895,-11.764367393322948
-0.9118339638052788,-4.559169819026394
